zipcode,population,area (sq mi),pop_density
19076,6525,0.748,8723.262032
75287,49004,5.619,8721.124755
77006,19664,2.255,8720.177384
33313,56039,6.432,8712.531095
97233,39367,4.521,8707.586817
85033,53037,6.096,8700.295276
22303,12601,1.451,8684.355617
20019,54358,6.261,8681.999681
94041,13292,1.531,8681.90725
14209,7926,0.913,8681.270537
80247,25449,2.932,8679.740791
1608,3888,0.448,8678.571429
13902,6177,0.712,8675.561798
33144,26903,3.103,8669.996777
7088,3606,0.416,8668.269231
72035,1083,0.125,8664
8901,55223,6.378,8658.356852
969,42219,4.883,8646.119189
19018,23360,2.702,8645.447816
33184,21075,2.439,8640.836408
11520,43341,5.016,8640.550239
98119,21039,2.437,8633.155519
2474,26312,3.05,8626.885246
11516,7556,0.876,8625.570776
90065,45527,5.279,8624.171245
90241,42399,4.924,8610.682372
89101,46055,5.349,8610.020565
4101,17227,2.004,8596.307385
94578,38558,4.487,8593.269445
90623,15554,1.812,8583.88521
